Time	Survival_Probability
0.358709944677553	0.989344520473553
1.32640262829348	0.980521206690562
1.8277373920945	0.970386798088411
2.09977951198653	0.924587066905615
2.12018267097843	0.937060185185185
3.13353956757623	0.918740292712067
3.50079642943047	0.893988948626045
3.658192227368	0.859743556920976
3.81364486730631	0.82772550776583
4.29837446275028	0.808732350385576
4.9141788977786	0.796060796133377
5.41869337466927	0.761998021206691
5.75024470828768	0.709669392174432
6.64288291418339	0.686233572281959
7.20056925996205	0.657974163679809
7.33659031990806	0.631234916367981
7.71012507683673	0.607946765003217
8.46413331682897	0.589710510595485
9.05628514922552	0.582272358764294
9.21951042116074	0.551535031575354
9.68703423577518	0.533944593787336
10.6127547066078	0.52104828042328
11.3324705347837	0.491640933737708
12.2741547959484	0.47344642663191
13.1378885266056	0.44602859916368
13.265165375555	0.432594939409456
14.232858059171	0.435601851851852
15.1305970548147	0.423376778538069
15.8651107785231	0.396363500597372
16.7628497741668	0.385957423699359
17.6605887698105	0.377665634843054
18.5583277654542	0.364271206690562
19.4560667610979	0.357148772672966
20.3538057567416	0.349388508743347
21.1750329061656	0.335548928464755
21.8282740465564	0.320147550776583
22.6389595638346	0.32770229173455
23.5366985594783	0.320154637775605
24.1011859582543	0.29985924432497
25.0057260068953	0.297936895840122
25.9374702675255	0.292063545400239
26.7291928487995	0.282416367980884
27.6989429938263	0.281247013142174
28.59668198947	0.280715488215488
29.4400125611353	0.272281959378734
30.4261652457439	0.270722819593787
31.2137271828313	0.267994324970131
32.2638097656146	0.260666367980884
33.0853769676885	0.260304931030738
33.9399092737023	0.25469577974559
34.855351010236	0.243681488948626
35.8350950102895	0.236181876665748
36.6916353195072	0.231257093787336
37.5559358045808	0.227131869772999
38.2269730336478	0.898666367980884
38.4718109415506	0.227456690561529
39.1247120292915	0.898666367980884
39.3695499371943	0.227350385576192
40.0224510249352	0.898666367980884
40.3434607264078	0.219427120669056
40.9201900205789	0.898666367980884
41.0885160822621	0.217517174432497
41.8179290162226	0.898666367980884
42.0627669241254	0.220440561529271
42.5116364219472	0.898666367980884
42.9605059197691	0.218420766807864
43.8822486318738	0.209778796823389
44.6798121174867	0.210150238948626
45.7171994013416	0.20699298088411
46.5174566373574	0.208747013142174
47.4492008979876	0.208640708156837
48.3469398936313	0.208640708156837
49.3146325772472	0.206491828810377
50.1424178849186	0.208747013142174
51.1036333752038	0.19984692353644
51.937895876206	0.195007093787336
52.8356348718497	0.198222819593787
53.809885713713	0.1899642510454
54.622044792474	0.186009557945042
55.4723508031109	0.188418229023068
56.4965445423967	0.187782151391022
57.3243298500682	0.184881543933963
58.1880635807253	0.189257765830347
59.1959796349253	0.187386798088411
59.945535687616	0.186322914470448
60.9152858326429	0.19003733572282
61.8007829328915	0.185476851851852
62.6592190012139	0.185606096334025
63.608502819574	0.19003733572282
64.5627428708876	0.184730263762522
65.3767765988722	0.181267174432497
66.3017198065051	0.181714280694357
67.1608001851115	0.179390052191411
68.0206859515728	0.1718392510454
68.5931515086725	0.160443663266244
69.556623758625	0.163210960011245
70.4585233984553	0.16392174432497
71.2035787543095	0.163799936529271
72.2343306518428	0.165211032993291
73.0846366624796	0.163116188769415
73.5652444076222	0.161972819593787
